id,loan_amnt,funded_amnt,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,collections_12_mths_ex_med,acc_now_delinq,chargeoff_within_12_mths,delinq_amnt,pub_rec_bankruptcies,tax_liens,year,early_default,return
92193802,8225,8225,0.1349,279.08,C,C2,3 years,RENT,98000.0,Verified,Oct-2016,Fully Paid,vacation,778xx,TX,10.98,1,Oct-2003,670,674,1,4.0,4,0,544,0.139,10,0,0,0,0,0,0,2016,0,0.2053948997559027
46822571,10000,10000,0.1153,329.91,B,B5,10+ years,MORTGAGE,170000.0,Source Verified,May-2015,Fully Paid,small_business,341xx,FL,16.76,0,Apr-1970,700,704,0,57.0,18,0,39370,0.763,38,0,0,0,0,0,0,2015,0,0.15770923575454
63004471,14400,14400,0.0624,439.65,A,A2,< 1 year,RENT,29000.0,Source Verified,Oct-2015,Fully Paid,credit_card,212xx,MD,16.97,0,Jun-2003,685,689,0,,14,0,16488,0.7020000000000001,37,0,0,0,0,0,0,2015,0,0.09876072359180554
95169368,6000,6000,0.1149,197.83,B,B5,3 years,RENT,60000.0,Source Verified,Dec-2016,Fully Paid,credit_card,480xx,MI,19.58,0,Jul-2003,660,664,2,,11,1,12143,0.7020000000000001,25,0,0,0,0,0,0,2016,0,0.1532868009900334
63348554,32400,32400,0.1333,1096.85,C,C3,2 years,MORTGAGE,177625.0,Source Verified,Oct-2015,Fully Paid,credit_card,020xx,MA,10.51,0,Aug-2004,665,669,1,38.0,24,0,15152,0.769,49,0,0,0,0,0,0,2015,0,0.2115718934053457
31187260,6000,6000,0.0839,189.1,A,A5,,MORTGAGE,52000.0,Verified,Oct-2014,Fully Paid,debt_consolidation,324xx,FL,13.69,0,May-1988,660,664,1,56.0,8,2,3493,0.5539999999999999,36,0,0,0,0,2,0,2014,0,0.1320408570200333
3701693,11700,11700,0.1629,413.02,C,C4,2 years,RENT,98000.0,Verified,Mar-2013,Fully Paid,other,201xx,VA,5.55,0,Oct-2002,695,699,0,63.0,5,0,3153,0.279,13,0,0,0,0,0,0,2013,0,0.270808660743094
60507499,30000,30000,0.0789,938.57,A,A5,1 year,MORTGAGE,175000.0,Source Verified,Sep-2015,Fully Paid,credit_card,761xx,TX,5.35,0,Feb-1990,700,704,0,29.0,10,0,31618,0.368,27,0,0,0,0,0,0,2015,0,0.10390874441909
4278935,20375,20375,0.1212,677.91,B,B3,10+ years,MORTGAGE,85000.0,Verified,Apr-2013,Charged Off,small_business,018xx,MA,2.34,0,Aug-1997,770,774,0,,6,0,10672,0.396,18,0,0,0,0,0,0,2013,1,-0.7338267484662577
85736486,32825,32825,0.1559,1147.4,C,C5,4 years,RENT,68400.0,Verified,Jul-2016,Fully Paid,debt_consolidation,968xx,HI,15.57,0,Feb-2009,715,719,0,,4,0,22213,0.6,6,0,0,0,0,0,0,2016,0,0.260036237689051
77079024,30000,30000,0.1299,1010.68,C,C2,10+ years,RENT,120000.0,Verified,Apr-2016,Fully Paid,debt_consolidation,103xx,NY,16.02,0,Jan-1998,665,669,3,,27,0,46779,0.585,37,0,0,0,0,0,0,2016,0,0.2113640176740668
39339302,10000,10000,0.0867,316.47,B,B1,8 years,RENT,27000.0,Not Verified,Jan-2015,Fully Paid,credit_card,335xx,FL,27.29,0,Sep-2007,705,709,1,,5,0,8316,0.6990000000000001,7,0,0,0,0,0,0,2015,0,0.06050599999999995
22284439,29850,29850,0.1499,1034.62,C,C5,10+ years,MORTGAGE,65000.0,Source Verified,Aug-2014,Fully Paid,home_improvement,344xx,FL,25.02,0,Jul-1997,675,679,0,32.0,22,0,42767,0.579,40,0,0,0,0,0,0,2014,0,0.2497520390692562
9007189,6250,6250,0.1099,204.59,B,B2,6 years,RENT,42000.0,Verified,Nov-2013,Fully Paid,debt_consolidation,926xx,CA,23.91,0,Nov-2003,680,684,0,46.0,10,0,5654,0.496,16,0,0,0,0,0,0,2013,0,0.08162590831430405
13006177,11000,11000,0.079,344.2,A,A4,3 years,RENT,52000.0,Source Verified,Mar-2014,Fully Paid,credit_card,029xx,RI,20.12,0,May-2004,685,689,0,,16,0,9805,0.605,27,0,0,0,0,0,0,2014,0,0.1055699999999999
1017665,4500,4500,0.1171,148.85,B,B3,4 years,RENT,48000.0,Source Verified,Nov-2011,Fully Paid,debt_consolidation,982xx,WA,6.35,0,Apr-2006,720,724,2,,5,0,4404,0.232,7,0,0,0,0,0,0,2011,0,0.1390787781363556
91397047,10000,10000,0.1144,329.48,B,B4,10+ years,MORTGAGE,85000.0,Verified,Nov-2016,Fully Paid,credit_card,426xx,KY,22.5,2,May-1998,670,674,0,4.0,12,0,11453,0.348,26,0,0,1,0,0,0,2016,0,0.1854697117479001
63356225,5000,5000,0.1099,163.67,B,B4,,RENT,28000.0,Verified,Oct-2015,Fully Paid,debt_consolidation,245xx,VA,12.34,0,Dec-1997,690,694,0,,7,0,10219,0.605,13,0,0,0,0,0,0,2015,0,0.1778132231604601
34874800,8000,8000,0.07490000000000001,248.82,A,A4,8 years,RENT,120000.0,Not Verified,Nov-2014,Fully Paid,credit_card,073xx,NJ,3.43,0,May-1989,660,664,0,38.0,6,0,14775,0.778,14,0,0,0,0,0,0,2014,0,0.1197360510601
49523448,18000,18000,0.0726,557.94,A,A4,9 years,OWN,120000.0,Not Verified,May-2015,Fully Paid,debt_consolidation,460xx,IN,8.52,0,Dec-1998,760,764,1,,7,0,87391,0.254,18,0,0,0,0,0,0,2015,0,0.09998573475294448
83172693,9700,9700,0.1149,319.83,B,B5,10+ years,MORTGAGE,27000.0,Not Verified,Jun-2016,Fully Paid,debt_consolidation,042xx,ME,34.27,3,Oct-1983,660,664,1,7.0,19,1,15656,0.363,49,0,0,0,0,1,0,2016,0,0.1864480682655669
48744387,4200,4200,0.1269,140.89,C,C2,,OWN,60562.0,Source Verified,May-2015,Fully Paid,debt_consolidation,112xx,NY,27.19,0,Mar-1993,665,669,0,36.0,15,0,4132,0.32,20,1,0,0,0,0,0,2015,0,0.2069060719470475
83846498,6000,6000,0.1049,194.99,B,B3,3 years,RENT,42000.0,Verified,Jun-2016,Fully Paid,debt_consolidation,113xx,NY,5.14,0,Aug-2007,670,674,0,,5,0,4762,0.882,7,0,0,0,0,0,0,2016,0,0.06860981797613341
83695241,10000,10000,0.1049,324.98,B,B3,1 year,RENT,36000.0,Verified,Jun-2016,Fully Paid,major_purchase,809xx,CO,21.13,0,Jan-2006,680,684,0,68.0,5,0,6312,0.4320000000000001,9,0,0,0,0,0,0,2016,0,0.16875056729174
1097660,6400,6400,0.1171,211.69,B,B3,10+ years,MORTGAGE,32000.0,Not Verified,Jan-2012,Fully Paid,credit_card,482xx,MI,8.51,0,Mar-2004,690,694,0,,7,0,5243,0.9359999999999999,9,0,0,0,0,0,0,2012,0,0.1151624364002499
72663372,6550,6550,0.1825,237.63,D,D3,10+ years,RENT,45000.0,Verified,Mar-2016,Fully Paid,other,601xx,IL,14.64,0,Jan-1986,715,719,1,31.0,3,1,71,0.019,6,0,0,0,0,0,1,2016,0,0.3041015121326565
9787920,20000,20000,0.08900000000000001,635.07,A,A5,5 years,RENT,66552.0,Verified,Dec-2013,Fully Paid,medical,970xx,OR,19.51,0,Aug-2003,715,719,0,,11,0,17020,0.56,20,0,0,0,0,0,0,2013,0,0.007718500000000184
34374013,13000,13000,0.0699,401.35,A,A3,10+ years,MORTGAGE,93000.0,Not Verified,Nov-2014,Fully Paid,credit_card,606xx,IL,15.96,0,Oct-1986,745,749,1,,27,0,17073,0.448,39,0,0,0,0,0,0,2014,0,0.1049045002112614
55817119,25000,25000,0.1269,838.63,C,C2,2 years,RENT,280000.0,Source Verified,Jul-2015,Fully Paid,credit_card,900xx,CA,18.36,0,Jun-2002,670,674,1,,34,0,23433,0.898,61,0,0,0,0,0,0,2015,0,0.207046562549468
31637320,15000,15000,0.1499,519.91,C,C5,2 years,MORTGAGE,40000.0,Verified,Oct-2014,Charged Off,debt_consolidation,261xx,WV,23.31,0,Dec-1999,665,669,3,,14,0,8187,0.73,28,0,0,0,0,0,0,2014,0,-0.2036373333333333
69967768,10000,10000,0.0849,315.63,B,B1,< 1 year,MORTGAGE,100000.0,Not Verified,Jan-2016,Fully Paid,debt_consolidation,705xx,LA,11.15,0,Feb-2003,700,704,0,72.0,11,0,14534,0.7609999999999999,22,0,0,0,0,0,0,2016,0,0.1267328246538399
63219138,12000,12000,0.1433,412.06,C,C5,6 years,RENT,60000.0,Source Verified,Nov-2015,Fully Paid,other,360xx,AL,6.38,0,Mar-2011,695,699,3,,5,0,4521,0.292,8,0,0,0,0,0,0,2015,0,0.1000745803981333
88848374,35000,35000,0.1349,1187.57,C,C2,10+ years,MORTGAGE,96000.0,Verified,Sep-2016,Fully Paid,debt_consolidation,762xx,TX,30.75,4,Dec-2004,670,674,0,21.0,22,0,31791,0.607,53,0,0,0,0,0,0,2016,0,0.1092239164773743
594284,1500,1500,0.1186,49.73,B,B5,,RENT,51600.0,Verified,Oct-2010,Fully Paid,vacation,890xx,NV,12.88,0,Jul-1996,690,694,2,,5,0,6449,0.451,11,0,0,0,0,0,0,2010,0,0.1943513449938681
68053384,35000,35000,0.1078,1142.22,B,B4,< 1 year,OWN,257000.0,Source Verified,Jan-2016,Charged Off,debt_consolidation,754xx,TX,26.16,0,Sep-1996,735,739,1,,28,1,23725,0.34,51,0,0,0,0,0,1,2016,0,0.04371657142857144
37820216,12000,12000,0.07490000000000001,373.22,A,A4,1 year,RENT,70000.0,Source Verified,Dec-2014,Fully Paid,debt_consolidation,314xx,GA,30.58,3,Dec-1996,730,734,0,5.0,15,0,12347,0.246,42,0,0,0,0,0,0,2014,0,0.1188258512174667
42384372,10000,10000,0.0917,318.79,B,B2,5 years,MORTGAGE,135000.0,Not Verified,Mar-2015,Fully Paid,debt_consolidation,232xx,VA,16.47,1,Jun-1990,685,689,1,12.0,20,0,33461,0.473,33,0,0,0,0,0,0,2015,0,0.1292527163225501
92421785,12000,12000,0.0532,361.38,A,A1,2 years,MORTGAGE,90000.0,Not Verified,Nov-2016,Fully Paid,debt_consolidation,027xx,MA,28.32,0,Jun-1977,730,734,0,43.0,10,0,21955,0.315,38,0,0,0,0,0,0,2016,0,0.06535198154547506
14528002,5400,5400,0.1899,197.92,E,E1,5 years,RENT,45000.0,Source Verified,May-2014,Charged Off,medical,322xx,FL,14.56,0,Mar-2008,675,679,0,,11,0,10370,0.603,13,0,0,0,0,0,0,2014,0,-0.523525925925926
80670759,15925,15925,0.0789,498.23,A,A5,10+ years,MORTGAGE,60000.0,Not Verified,Jun-2016,Fully Paid,debt_consolidation,956xx,CA,18.72,1,Dec-1995,720,724,0,7.0,19,0,18088,0.247,50,0,0,0,0,0,0,2016,0,0.1141278628001257
71785933,8000,8000,0.1299,269.52,C,C2,,RENT,43000.0,Verified,Feb-2016,Fully Paid,credit_card,856xx,AZ,30.31,0,Oct-2005,695,699,0,,10,0,18474,0.581,18,0,0,0,0,0,0,2016,0,0.2081011701251125
72183412,5000,5000,0.0649,153.23,A,A2,3 years,RENT,60000.0,Source Verified,Feb-2016,Fully Paid,debt_consolidation,104xx,NY,10.86,0,Jun-2003,730,734,0,,15,0,17832,0.273,21,0,0,0,0,0,0,2016,0,0.1028346388985999
37641289,5000,5000,0.1239,167.01,C,C1,,MORTGAGE,48648.88,Verified,Dec-2014,Fully Paid,debt_consolidation,719xx,AR,6.04,1,Mar-1978,720,724,0,20.0,5,0,11929,0.9940000000000001,21,0,0,0,0,0,0,2014,0,0.20518011720368
36148961,21250,21250,0.1431,729.48,C,C4,10+ years,RENT,70000.0,Source Verified,Nov-2014,Fully Paid,debt_consolidation,920xx,CA,20.55,1,Sep-1999,725,729,0,14.0,7,0,1520,0.065,29,0,0,0,0,0,0,2014,0,0.176974588380193
43639131,3000,3000,0.1561,104.9,D,D1,10+ years,RENT,67000.0,Verified,Apr-2015,Fully Paid,debt_consolidation,937xx,CA,11.59,12,Jun-1981,670,674,1,37.0,15,1,13704,0.6,40,0,0,0,0,1,0,2015,0,0.2555787485825667
21010454,10000,10000,0.0917,318.79,B,B1,7 years,OWN,52000.0,Not Verified,Jul-2014,Charged Off,debt_consolidation,729xx,AR,16.36,3,Apr-1994,685,689,0,16.0,14,0,10813,0.575,54,0,0,0,0,0,0,2014,0,-0.5218149999999999
86432733,20000,20000,0.0859,632.19,A,A5,10+ years,MORTGAGE,120000.0,Source Verified,Aug-2016,Fully Paid,debt_consolidation,182xx,PA,18.57,0,Sep-2001,700,704,0,56.0,20,0,32935,0.6409999999999999,34,0,0,0,0,0,0,2016,0,0.1369775653815999
65493692,5000,5000,0.0726,154.99,A,A4,10+ years,MORTGAGE,74000.0,Not Verified,Nov-2015,Fully Paid,home_improvement,145xx,NY,6.65,0,May-1997,795,799,0,,12,0,3224,0.08199999999999999,15,0,0,0,0,0,0,2015,0,0.09014517488301999
82830666,17000,17000,0.0532,511.96,A,A1,4 years,MORTGAGE,77000.0,Source Verified,Jun-2016,Fully Paid,credit_card,440xx,OH,20.0,0,Aug-1994,815,819,0,,8,0,953,0.036,16,0,0,0,0,0,0,2016,0,0.08361001018822356
75094808,12000,12000,0.0916,382.5,B,B2,3 years,MORTGAGE,36000.0,Not Verified,Mar-2016,Fully Paid,other,956xx,CA,31.2,0,Mar-2010,770,774,1,,11,0,4748,0.112,19,0,0,0,0,0,0,2016,0,0.08230711993714168
733858,8000,8000,0.1074,260.93,B,B4,10+ years,MORTGAGE,63189.0,Source Verified,Apr-2011,Fully Paid,debt_consolidation,935xx,CA,18.12,0,Apr-1991,675,679,0,37.0,6,0,8397,0.718,12,0,0,0,0,0,0,2011,0,0.1741629418068125
64969051,5000,5000,0.1318,168.91,C,C3,5 years,RENT,30000.0,Not Verified,Dec-2015,Charged Off,credit_card,794xx,TX,36.2,0,Apr-2009,660,664,0,26.0,10,0,7959,0.447,15,0,0,0,0,0,0,2015,0,0.08029200000000003
79380202,1000,1000,0.1147,32.97,B,B5,10+ years,RENT,69456.0,Source Verified,May-2016,Fully Paid,major_purchase,283xx,NC,15.49,0,Oct-2005,685,689,0,,8,0,14918,0.95,41,0,0,0,0,0,0,2016,0,0.001279999999999948
18576175,10000,10000,0.1099,327.34,B,B3,4 years,MORTGAGE,84000.0,Source Verified,Jun-2014,Fully Paid,credit_card,891xx,NV,24.36,0,Apr-2001,670,674,0,,21,0,11991,0.34,39,1,0,0,0,0,0,2014,0,0.1784232231581599
88057540,5000,5000,0.1399,170.87,C,C3,,MORTGAGE,65000.0,Not Verified,Aug-2016,Charged Off,home_improvement,775xx,TX,3.8,2,Oct-1996,665,669,3,13.0,6,0,1089,0.279,20,0,0,0,0,0,0,2016,0,-0.278182
95119289,8400,8400,0.0699,259.33,A,A2,10+ years,RENT,43500.0,Not Verified,Dec-2016,Fully Paid,credit_card,760xx,TX,28.47,0,Aug-1998,720,724,0,,14,0,12041,0.315,22,0,0,0,0,0,0,2016,0,0.1104390989317856
75760727,4925,4925,0.1727,176.26,D,D2,,RENT,75000.0,Source Verified,Mar-2016,Fully Paid,debt_consolidation,238xx,VA,5.25,0,Oct-2003,690,694,0,,7,1,786,0.414,12,0,0,0,0,1,0,2016,0,0.2921217729186192
67969267,9000,9000,0.1122,295.59,B,B5,9 years,RENT,50000.0,Source Verified,Jan-2016,Fully Paid,credit_card,207xx,MD,9.24,0,May-2006,660,664,0,70.0,10,0,8876,0.6829999999999999,15,0,0,0,0,0,0,2016,0,0.1688856676038779
75092889,20000,20000,0.0916,637.49,B,B2,< 1 year,MORTGAGE,89200.0,Source Verified,Apr-2016,Fully Paid,debt_consolidation,430xx,OH,11.6,0,Oct-1992,660,664,0,,4,0,13123,0.81,8,0,0,0,0,0,0,2016,0,0.1464537288956
12476883,27000,27000,0.1561,944.05,C,C5,3 years,RENT,125000.0,Verified,Feb-2014,Fully Paid,credit_card,606xx,IL,7.05,0,May-2001,670,674,1,,10,0,25948,0.77,19,0,0,0,0,0,0,2014,0,0.02578560547815179
81564625,10000,10000,0.1147,329.62,B,B5,10+ years,RENT,46000.0,Verified,Jun-2016,Fully Paid,credit_card,600xx,IL,27.39,0,Dec-2003,690,694,2,,15,0,13256,0.318,20,0,0,0,0,0,0,2016,0,0.1874842187271999
8967293,17050,17050,0.0967,547.52,B,B1,< 1 year,RENT,45000.0,Not Verified,Nov-2013,Fully Paid,credit_card,297xx,SC,6.75,0,Nov-2005,725,729,0,,13,0,7857,0.273,15,0,0,0,0,0,0,2013,0,0.1567529410238828
32129365,7200,7200,0.1099,235.69,B,B3,9 years,RENT,24400.0,Verified,Oct-2014,Fully Paid,debt_consolidation,191xx,PA,1.72,0,Feb-2005,690,694,0,25.0,5,0,890,0.131,13,0,0,0,0,0,0,2014,0,0.1778074778595
65794073,14000,14000,0.1099,458.28,B,B4,,MORTGAGE,72000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,469xx,IN,22.03,0,Oct-1985,685,689,1,32.0,13,1,19436,0.813,20,0,0,0,0,1,0,2015,0,0.1414326766525356
94418972,2400,2400,0.1274,80.57,C,C1,,RENT,15000.0,Source Verified,Dec-2016,Fully Paid,debt_consolidation,088xx,NJ,19.84,0,Jan-2012,660,664,2,,8,0,1997,0.624,8,0,0,0,0,0,0,2016,0,0.207696900065
76548158,8000,8000,0.0532,240.92,A,A1,9 years,MORTGAGE,62000.0,Not Verified,Apr-2016,Fully Paid,debt_consolidation,089xx,NJ,17.63,0,Jan-2001,685,689,0,33.0,12,0,9661,0.451,20,0,0,0,0,0,0,2016,0,0.05424431853512512
88282501,12000,12000,0.1279,403.12,C,C1,10+ years,MORTGAGE,45000.0,Source Verified,Aug-2016,Charged Off,debt_consolidation,320xx,FL,28.69,1,Sep-1988,660,664,0,22.0,15,0,8732,0.347,34,0,0,1,0,0,0,2016,0,-0.2591700000000001
46792943,9650,9650,0.1333,326.69,C,C3,9 years,RENT,53000.0,Not Verified,Apr-2015,Fully Paid,credit_card,784xx,TX,18.82,1,Jan-2002,700,704,0,17.0,11,0,7880,0.691,27,0,0,0,0,0,0,2015,0,0.2181136935675025
1553664,12500,12500,0.1212,415.9,B,B3,6 years,RENT,70000.0,Not Verified,Sep-2012,Fully Paid,credit_card,799xx,TX,3.89,0,Oct-2000,725,729,0,41.0,3,0,1198,0.122,18,0,0,0,0,0,0,2012,0,0.197777039090504
7675488,25000,25000,0.234,972.97,E,E5,10+ years,RENT,132000.0,Source Verified,Oct-2013,Charged Off,debt_consolidation,752xx,TX,8.21,0,May-2008,675,679,1,,6,0,14354,0.997,11,0,0,0,0,0,0,2013,0,-0.3384236
73131835,6000,6000,0.1147,197.78,B,B5,10+ years,OWN,28000.0,Verified,Mar-2016,Fully Paid,home_improvement,779xx,TX,34.46,1,Nov-1995,660,664,0,22.0,8,0,10020,0.696,27,1,0,0,0,0,0,2016,0,0.1662496063793499
21080487,4350,4350,0.1449,149.72,C,C4,5 years,MORTGAGE,45000.0,Not Verified,Jul-2014,Fully Paid,debt_consolidation,850xx,AZ,20.05,0,Jan-2002,705,709,3,,8,0,3386,0.77,9,0,0,0,0,0,0,2014,0,0.0686850574712643
79713247,2700,2700,0.1446,92.89,C,C4,10+ years,OWN,65000.0,Source Verified,Jun-2016,Fully Paid,major_purchase,208xx,MD,16.27,0,Feb-2002,690,694,0,,4,1,26067,1.003,14,0,0,0,0,0,0,2016,0,0.05675555555555545
72694968,20000,20000,0.1367,680.36,C,C3,10+ years,RENT,76000.0,Verified,Mar-2016,Fully Paid,debt_consolidation,908xx,CA,33.06,0,Jul-2000,670,674,2,,13,0,29055,0.608,44,0,0,0,0,0,0,2016,0,0.04576200000000008
15501165,1500,1500,0.1464,51.74,C,C3,< 1 year,OWN,22000.0,Not Verified,May-2014,Charged Off,car,160xx,PA,6.55,0,Sep-2008,715,719,0,,5,0,699,0.5379999999999999,6,0,0,0,0,0,0,2014,0,0.03479999999999994
60577445,24000,24000,0.0789,750.86,A,A5,< 1 year,MORTGAGE,85000.0,Not Verified,Sep-2015,Fully Paid,debt_consolidation,907xx,CA,27.56,2,Jul-1999,720,724,0,16.0,17,0,20268,0.342,42,0,0,0,0,0,0,2015,0,0.1258440510763916
33260374,9000,9000,0.1167,297.52,B,B4,2 years,RENT,65000.0,Source Verified,Oct-2014,Fully Paid,debt_consolidation,209xx,MD,14.24,0,Mar-2011,680,684,1,,7,0,8402,0.7,7,0,0,0,0,0,0,2014,0,0.1858842635767222
86542606,4900,4900,0.1279,164.61,C,C1,10+ years,MORTGAGE,62000.0,Source Verified,Aug-2016,Fully Paid,other,560xx,MN,18.64,0,May-1986,695,699,0,31.0,14,0,18204,0.758,28,0,0,0,0,0,0,2016,0,0.208626411885755
7574719,21000,21000,0.1299,707.48,B,B4,2 years,MORTGAGE,106000.0,Verified,Oct-2013,Fully Paid,debt_consolidation,751xx,TX,32.3,1,Feb-1992,700,704,1,13.0,8,0,16252,0.593,18,0,0,0,0,0,0,2013,0,0.189826190647062
58180258,7000,7000,0.1099,229.14,B,B4,10+ years,OWN,62000.0,Source Verified,Aug-2015,Fully Paid,debt_consolidation,070xx,NJ,20.21,1,Dec-1993,660,664,0,7.0,11,0,5175,0.69,30,0,0,0,0,0,0,2015,0,0.1484681371824286
1144674,18000,18000,0.1212,598.89,B,B3,7 years,OWN,72000.0,Verified,Feb-2012,Fully Paid,debt_consolidation,967xx,HI,13.2,0,Jan-2002,710,714,0,,8,0,12180,0.7120000000000001,14,0,0,0,0,0,0,2012,0,0.1977794449390888
15710739,8000,8000,0.0712,247.46,A,A3,1 year,MORTGAGE,65000.0,Not Verified,May-2014,Fully Paid,credit_card,787xx,TX,15.21,0,Jun-2006,710,714,0,,11,0,20334,0.622,22,0,0,0,0,0,0,2014,0,0.1137320949144249
46437587,15000,15000,0.1099,491.01,B,B4,6 years,OWN,52500.0,Source Verified,Apr-2015,Fully Paid,debt_consolidation,744xx,OK,34.83,0,Apr-1998,660,664,0,73.0,17,1,14131,0.512,43,0,0,0,0,1,0,2015,0,0.08101466666666668
509250,10000,10000,0.1136,329.1,B,B5,7 years,MORTGAGE,50004.0,Not Verified,May-2010,Charged Off,debt_consolidation,440xx,OH,14.69,0,Nov-1995,700,704,3,,12,0,5485,0.268,24,0,0,0,0,0,0,2010,1,-0.835745
13157400,5000,5000,0.08900000000000001,158.77,A,A5,,OWN,28000.0,Verified,Apr-2014,Fully Paid,credit_card,945xx,CA,19.67,0,Jul-1992,760,764,1,,6,0,10042,0.356,9,0,0,0,0,0,0,2014,0,0.07661000000000007
65854247,7000,7000,0.1259,234.48,C,C2,4 years,MORTGAGE,30000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,030xx,NH,15.77,0,Mar-2004,660,664,2,32.0,12,0,7448,0.54,25,1,0,0,0,0,0,2015,0,0.205584256726157
62127133,11200,11200,0.0689,345.27,A,A3,8 years,MORTGAGE,71000.0,Verified,Oct-2015,Fully Paid,debt_consolidation,217xx,MD,28.13,0,Sep-2004,720,724,2,,21,0,5316,0.134,41,0,0,0,0,0,0,2015,0,0.07479057230066966
12355531,15000,15000,0.1249,501.74,B,B4,2 years,MORTGAGE,84000.0,Source Verified,Feb-2014,Fully Paid,debt_consolidation,750xx,TX,16.7,0,May-1999,710,714,0,43.0,13,0,14658,0.373,29,0,0,0,0,0,0,2014,0,0.2041546673948467
30785994,5000,5000,0.1398,170.84,C,C3,,MORTGAGE,24000.0,Verified,Oct-2014,Fully Paid,debt_consolidation,721xx,AR,23.3,0,Apr-2001,680,684,2,,9,1,5028,0.445,21,0,0,0,0,1,0,2014,0,0.0515159999999999
55018113,10500,10500,0.1465,362.19,C,C5,8 years,MORTGAGE,35000.0,Not Verified,Jul-2015,Fully Paid,debt_consolidation,395xx,MS,15.5,0,Mar-2003,715,719,0,,6,1,5797,0.3720000000000001,11,0,0,0,0,1,0,2015,0,0.07343904761904763
77389449,27875,27875,0.1299,939.09,C,C2,10+ years,MORTGAGE,145000.0,Not Verified,Apr-2016,Fully Paid,other,926xx,CA,23.3,0,Sep-1991,720,724,2,58.0,9,0,6149,0.364,19,0,0,0,0,0,0,2016,0,0.1818596882324162
